LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
0.000000,0.000000,1726714115.475280,407456.000,64517,3,AZ,1,100,-0.335
0.000000,0.000000,1726714115.515280,407496.000,64517,3,AZ,1,100,-0.335
0.000000,0.000000,1726714115.555281,407536.000,64533,2,AZ,1,100,-0.339
0.000000,0.000000,1726714115.595281,407576.000,64533,2,AZ,1,100,-0.332
0.000000,0.000000,1726714115.635281,407616.000,64550,3,AZ,1,100,-0.339
0.000000,0.000000,1726714115.675282,407656.000,64550,3,AZ,1,100,-0.336
0.000000,0.000000,1726714115.715282,407696.000,64550,3,AZ,1,100,-0.337
0.000000,0.000000,1726714115.755283,407736.000,64567,2,AZ,1,100,-0.336
0.000000,0.000000,1726714115.795283,407776.000,64567,2,AZ,1,100,-0.334
0.000000,0.000000,1726714115.835284,407816.000,64584,3,AZ,1,100,-0.335
0.000000,0.000000,1726714115.875284,407856.000,64584,3,AZ,1,100,-0.335
0.000000,0.000000,1726714115.915284,407896.000,64584,3,AZ,1,100,-0.337
0.000000,0.000000,1726714115.955285,407936.000,64602,2,AZ,1,100,-0.336
0.000000,0.000000,1726714115.995285,407976.000,64602,2,AZ,1,100,-0.334
0.000000,0.000000,1726714116.035286,408016.000,64619,3,AZ,1,100,-0.335
0.000000,0.000000,1726714116.075286,408056.000,64619,3,AZ,1,100,-0.334
0.000000,0.000000,1726714116.115287,408096.000,64619,3,AZ,1,100,-0.337
0.000000,0.000000,1726714116.155287,408136.000,64635,2,AZ,1,100,-0.335
0.000000,0.000000,1726714116.195287,408176.000,64635,2,AZ,1,100,-0.332
0.000000,0.000000,1726714116.235288,408216.000,64651,3,AZ,1,100,-0.336
0.000000,0.000000,1726714116.275288,408256.000,64651,3,AZ,1,100,-0.341
0.000000,0.000000,1726714116.315289,408296.000,64651,3,AZ,1,100,-0.338
0.000000,0.000000,1726714116.355289,408336.000,64667,3,AZ,1,100,-0.329
0.000000,0.000000,1726714116.395289,408376.000,64667,3,AZ,1,100,-0.344
0.000000,0.000000,1726714116.435290,408416.000,64667,3,AZ,1,100,-0.330
0.000000,0.000000,1726714116.475290,408456.000,64685,2,AZ,1,100,-0.336
0.000000,0.000000,1726714116.515291,408496.000,64685,2,AZ,1,100,-0.338
0.000000,0.000000,1726714116.555291,408536.000,64701,3,AZ,1,100,-0.336
0.000000,0.000000,1726714116.595292,408576.000,64701,3,AZ,1,100,-0.338
0.000000,0.000000,1726714116.635292,408616.000,64701,3,AZ,1,100,-0.336
0.000000,0.000000,1726714116.675292,408656.000,64716,2,AZ,1,100,-0.338
0.000000,0.000000,1726714116.715293,408696.000,64716,2,AZ,1,100,-0.333
0.000000,0.000000,1726714116.755293,408736.000,64735,3,AZ,1,100,-0.334
0.000000,0.000000,1726714116.795294,408776.000,64735,3,AZ,1,100,-0.335
0.000000,0.000000,1726714116.835294,408816.000,64735,3,AZ,1,100,-0.337
0.000000,0.000000,1726714116.875295,408856.000,64752,2,AZ,1,100,-0.340
0.000000,0.000000,1726714116.915295,408896.000,64752,2,AZ,1,100,-0.337
0.000000,0.000000,1726714116.955295,408936.000,64768,3,AZ,1,100,-0.334
0.000000,0.000000,1726714116.995296,408976.000,64768,3,AZ,1,100,-0.336
0.000000,0.000000,1726714117.035296,409016.000,64768,3,AZ,1,100,-0.338
0.000000,0.000000,1726714117.075297,409056.000,64783,2,AZ,1,100,-0.338
0.000000,0.000000,1726714117.115297,409096.000,64783,2,AZ,1,100,-0.336
0.000000,0.000000,1726714117.155298,409136.000,64800,3,AZ,1,100,-0.336
0.000000,0.000000,1726714117.195298,409176.000,64800,3,AZ,1,100,-0.334
0.000000,0.000000,1726714117.235298,409216.000,64800,3,AZ,1,100,-0.337
0.000000,0.000000,1726714117.275299,409256.000,64817,2,AZ,1,100,-0.338
0.000000,0.000000,1726714117.315299,409296.000,64817,2,AZ,1,100,-0.333
0.000000,0.000000,1726714117.355300,409336.000,64833,3,AZ,1,100,-0.335
0.000000,0.000000,1726714117.395300,409376.000,64833,3,AZ,1,100,-0.334
0.000000,0.000000,1726714117.435301,409416.000,64833,3,AZ,1,100,-0.343
0.000000,0.000000,1726714117.475301,409456.000,64856,4,AZ,1,100,-0.325
0.000000,0.000000,1726714117.515301,409496.000,64856,4,AZ,1,100,-0.346
0.000000,0.000000,1726714117.555302,409536.000,64856,4,AZ,1,100,-0.327
0.000000,0.000000,1726714117.595302,409576.000,64856,4,AZ,1,100,-0.338
