LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
0.000000,0.000000,1726714047.173556,339155.000,53286,1,SF,1,100,1.4409
0.000000,0.000000,1726714047.573560,339555.000,53353,1,SF,1,100,1.4243
0.000000,0.000000,1726714047.840563,339822.000,53401,1,SF,1,100,1.4078
0.000000,0.000000,1726714048.173566,340155.000,53450,1,SF,1,100,1.3915
0.000000,0.000000,1726714048.573570,340555.000,53517,1,SF,1,100,1.3754
0.000000,0.000000,1726714048.840573,340822.000,53567,1,SF,1,100,1.3595
0.000000,0.000000,1726714049.173577,341155.000,53616,1,SF,1,100,1.3438
0.000000,0.000000,1726714049.506580,341488.000,53668,1,SF,1,100,1.3282
0.000000,0.000000,1726714049.906585,341888.000,53733,1,SF,1,100,1.3129
0.000000,0.000000,1726714050.173587,342155.000,53784,1,SF,1,100,1.2977
0.000000,0.000000,1726714050.506591,342488.000,53834,1,SF,1,100,1.2827
0.000000,0.000000,1726714050.906595,342888.000,53901,1,SF,1,100,1.2678
0.000000,0.000000,1726714051.173598,343155.000,53940,1,SF,1,100,1.2532
0.000000,0.000000,1726714051.573602,343555.000,54007,1,SF,1,100,1.2387
0.000000,0.000000,1726714051.839605,343821.000,54058,1,SF,1,100,1.2243
0.000000,0.000000,1726714052.173609,344155.000,54106,1,SF,1,100,1.2102
0.000000,0.000000,1726714052.573613,344555.000,54175,1,SF,1,100,1.1962
0.000000,0.000000,1726714052.906616,344888.000,54226,1,SF,1,100,1.1823
0.000000,0.000000,1726714053.173619,345155.000,54274,1,SF,1,100,1.1687
0.000000,0.000000,1726714053.506623,345488.000,54325,1,SF,1,100,1.1551
0.000000,0.000000,1726714053.906627,345888.000,54390,1,SF,1,100,1.1418
0.000000,0.000000,1726714054.172630,346154.000,54440,1,SF,1,100,1.1286
0.000000,0.000000,1726714054.506633,346488.000,54493,1,SF,1,100,1.1155
0.000000,0.000000,1726714054.906638,346888.000,54558,1,SF,1,100,1.1026
0.000000,0.000000,1726714055.172640,347154.000,54606,1,SF,1,100,1.0899
0.000000,0.000000,1726714055.506644,347488.000,54659,1,SF,1,100,1.0773
0.000000,0.000000,1726714055.839647,347821.000,54707,1,SF,1,100,1.0648
0.000000,0.000000,1726714056.172651,348154.000,54761,1,SF,1,100,1.0525
0.000000,0.000000,1726714056.506655,348488.000,54811,1,SF,1,100,1.0403
