LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
0.000000,0.000000,1726713979.080584,271062.750,42197,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713979.130834,271113.000,42197,4,EM,1,100,PS
0.000000,0.000000,1726713979.200835,271183.000,42238,4,EM,1,100,RS
0.000000,0.000000,1726713979.270836,271253.000,42238,4,EM,1,100,RB
0.000000,0.000000,1726713979.340836,271323.000,42238,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713979.410837,271393.000,42238,4,EM,1,100,PS
0.000000,0.000000,1726713979.461088,271443.250,42272,4,EM,1,100,RS
0.000000,0.000000,1726713979.511338,271493.500,42272,4,EM,1,100,RB
0.000000,0.000000,1726713979.561589,271543.750,42272,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713979.611839,271594.000,42272,4,EM,1,100,PS
0.000000,0.000000,1726713979.662090,271644.250,42305,4,EM,1,100,RS
0.000000,0.000000,1726713979.712340,271694.500,42305,4,EM,1,100,RB
0.000000,0.000000,1726713979.762591,271744.750,42305,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713979.812841,271795.000,42305,4,EM,1,100,PS
0.000000,0.000000,1726713979.863092,271845.250,42337,4,EM,1,100,RS
0.000000,0.000000,1726713979.913343,271895.500,42337,4,EM,1,100,RB
0.000000,0.000000,1726713979.963593,271945.750,42337,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713980.013844,271996.000,42337,4,EM,1,100,PS
0.000000,0.000000,1726713980.064094,272046.250,42370,4,EM,1,100,RS
0.000000,0.000000,1726713980.114345,272096.500,42370,4,EM,1,100,RB
0.000000,0.000000,1726713980.164595,272146.750,42370,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713980.214846,272197.000,42370,4,EM,1,100,PS
0.000000,0.000000,1726713980.265096,272247.250,42402,4,EM,1,100,RS
0.000000,0.000000,1726713980.315347,272297.500,42402,4,EM,1,100,RB
0.000000,0.000000,1726713980.365597,272347.750,42402,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713980.415848,272398.000,42402,4,EM,1,100,PS
0.000000,0.000000,1726713980.466098,272448.250,42438,4,EM,1,100,RS
0.000000,0.000000,1726713980.516349,272498.500,42438,4,EM,1,100,RB
0.000000,0.000000,1726713980.566599,272548.750,42438,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713980.616850,272599.000,42438,4,EM,1,100,PS
0.000000,0.000000,1726713980.667101,272649.250,42469,4,EM,1,100,RS
0.000000,0.000000,1726713980.717351,272699.500,42469,4,EM,1,100,RB
0.000000,0.000000,1726713980.767602,272749.750,42469,4,EM,1,100,2024-09-18_22-46-06-359329.csv
