LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
0.000000,0.000000,1726714134.873485,426854.000,2210,3,MX,1,100,-19
0.000000,0.000000,1726714134.913486,426894.000,2210,3,MX,1,100,-19
0.000000,0.000000,1726714134.953486,426934.000,2210,3,MX,1,100,-18
0.000000,0.000000,1726714134.993487,426974.000,2227,2,MX,1,100,-18
0.000000,0.000000,1726714135.033487,427014.000,2227,2,MX,1,100,-20
0.000000,0.000000,1726714135.073488,427054.000,2242,3,MX,1,100,-20
0.000000,0.000000,1726714135.113488,427094.000,2242,3,MX,1,100,-19
0.000000,0.000000,1726714135.153488,427134.000,2242,3,MX,1,100,-19
0.000000,0.000000,1726714135.193489,427174.000,2259,2,MX,1,100,-19
0.000000,0.000000,1726714135.233489,427214.000,2259,2,MX,1,100,-20
0.000000,0.000000,1726714135.273490,427254.000,2275,3,MX,1,100,-20
0.000000,0.000000,1726714135.313490,427294.000,2275,3,MX,1,100,-19
0.000000,0.000000,1726714135.353490,427334.000,2275,3,MX,1,100,-19
0.000000,0.000000,1726714135.393491,427374.000,2292,2,MX,1,100,-18
0.000000,0.000000,1726714135.433491,427414.000,2292,2,MX,1,100,-20
0.000000,0.000000,1726714135.473492,427454.000,2311,3,MX,1,100,-19
0.000000,0.000000,1726714135.513492,427494.000,2311,3,MX,1,100,-17
0.000000,0.000000,1726714135.553493,427534.000,2311,3,MX,1,100,-18
0.000000,0.000000,1726714135.593493,427574.000,2326,2,MX,1,100,-19
0.000000,0.000000,1726714135.633493,427614.000,2326,2,MX,1,100,-19
0.000000,0.000000,1726714135.673494,427654.000,2344,3,MX,1,100,-18
0.000000,0.000000,1726714135.713494,427694.000,2344,3,MX,1,100,-18
0.000000,0.000000,1726714135.753495,427734.000,2344,3,MX,1,100,-19
0.000000,0.000000,1726714135.793495,427774.000,2362,3,MX,1,100,-19
0.000000,0.000000,1726714135.833496,427814.000,2362,3,MX,1,100,-19
0.000000,0.000000,1726714135.873496,427854.000,2362,3,MX,1,100,-19
0.000000,0.000000,1726714135.913496,427894.000,2378,2,MX,1,100,-19
0.000000,0.000000,1726714135.953497,427934.000,2378,2,MX,1,100,-18
0.000000,0.000000,1726714135.993497,427974.000,2393,3,MX,1,100,-19
0.000000,0.000000,1726714136.033498,428014.000,2393,3,MX,1,100,-19
0.000000,0.000000,1726714136.073498,428054.000,2393,3,MX,1,100,-19
0.000000,0.000000,1726714136.113499,428094.000,2410,2,MX,1,100,-19
0.000000,0.000000,1726714136.153499,428134.000,2410,2,MX,1,100,-19
0.000000,0.000000,1726714136.193499,428174.000,2427,3,MX,1,100,-19
0.000000,0.000000,1726714136.233500,428214.000,2427,3,MX,1,100,-19
0.000000,0.000000,1726714136.273500,428254.000,2427,3,MX,1,100,-20
0.000000,0.000000,1726714136.313501,428294.000,2443,2,MX,1,100,-20
