EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1853733.000,35382,2,GX,1,100,0.763
1853773.000,35398,3,GX,1,100,0.793
1853813.000,35398,3,GX,1,100,0.549
1853853.000,35398,3,GX,1,100,1.953
1853893.000,35413,2,GX,1,100,0.061
1853933.000,35413,2,GX,1,100,-0.702
1853973.000,35430,3,GX,1,100,1.068
1854013.000,35430,3,GX,1,100,0.641
1854053.000,35430,3,GX,1,100,0.854
1854093.000,35447,2,GX,1,100,0.183
1854133.000,35447,2,GX,1,100,0.671
1854173.000,35463,3,GX,1,100,0.671
1854213.000,35463,3,GX,1,100,0.641
1854253.000,35463,3,GX,1,100,0.732
1854293.000,35480,2,GX,1,100,0.641
1854333.000,35480,2,GX,1,100,0.641
1854373.000,35495,3,GX,1,100,0.763
1854413.000,35495,3,GX,1,100,-3.326
1854453.000,35495,3,GX,1,100,-7.080
1854493.000,35512,2,GX,1,100,10.162
1854533.000,35512,2,GX,1,100,12.787
1854573.000,35529,3,GX,1,100,-10.864
1854613.000,35529,3,GX,1,100,39.764
1854653.000,35529,3,GX,1,100,67.108
1854693.000,35546,3,GX,1,100,42.603
1854733.000,35546,3,GX,1,100,39.490
1854773.000,35546,3,GX,1,100,-28.351
1854813.000,35560,2,GX,1,100,-78.735
1854853.000,35560,2,GX,1,100,-54.626
1854893.000,35578,3,GX,1,100,-91.156
1854933.000,35578,3,GX,1,100,-108.002
1854973.000,35578,3,GX,1,100,-185.272
1855013.000,35594,2,GX,1,100,-81.238
1855053.000,35594,2,GX,1,100,17.548
1855093.000,35611,3,GX,1,100,8.301
1855133.000,35611,3,GX,1,100,43.365
1855173.000,35611,3,GX,1,100,56.061
1855213.000,35625,2,GX,1,100,3.937
1855253.000,35625,2,GX,1,100,-4.089
1855293.000,35643,3,GX,1,100,1.160
1855333.000,35643,3,GX,1,100,0.916
1855373.000,35643,3,GX,1,100,0.610
1855413.000,35659,2,GX,1,100,0.702
1855453.000,35659,2,GX,1,100,0.671
1855493.000,35676,3,GX,1,100,0.702
1855533.000,35676,3,GX,1,100,0.732
1855573.000,35676,3,GX,1,100,0.671
1855613.000,35691,2,GX,1,100,0.671
