EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1850773.000,34913,3,AX,1,100,0.869
1850813.000,34913,3,AX,1,100,0.957
1850853.000,34913,3,AX,1,100,1.061
1850893.000,34930,3,AX,1,100,1.222
1850933.000,34930,3,AX,1,100,1.403
1850973.000,34930,3,AX,1,100,0.834
1851013.000,34947,2,AX,1,100,0.583
1851053.000,34947,2,AX,1,100,0.577
1851093.000,34963,3,AX,1,100,0.642
1851133.000,34963,3,AX,1,100,0.062
1851173.000,34963,3,AX,1,100,-0.385
1851213.000,34978,2,AX,1,100,-0.100
1851253.000,34978,2,AX,1,100,0.123
1851293.000,34997,3,AX,1,100,0.367
1851333.000,34997,3,AX,1,100,0.386
1851373.000,34997,3,AX,1,100,0.616
1851413.000,35014,2,AX,1,100,0.512
1851453.000,35014,2,AX,1,100,0.494
1851493.000,35030,3,AX,1,100,1.165
1851533.000,35030,3,AX,1,100,0.633
1851573.000,35030,3,AX,1,100,0.798
1851613.000,35046,2,AX,1,100,0.583
1851653.000,35046,2,AX,1,100,0.754
1851693.000,35062,3,AX,1,100,0.633
1851733.000,35062,3,AX,1,100,0.865
1851773.000,35062,3,AX,1,100,0.895
1851813.000,35084,4,AX,1,100,0.871
1851853.000,35084,4,AX,1,100,0.910
1851893.000,35084,4,AX,1,100,0.969
1851933.000,35084,4,AX,1,100,0.927
1851973.000,35101,2,AX,1,100,0.938
1852013.000,35101,2,AX,1,100,0.998
1852053.000,35118,3,AX,1,100,0.961
1852093.000,35118,3,AX,1,100,0.999
1852133.000,35118,3,AX,1,100,1.005
1852173.000,35133,2,AX,1,100,1.021
1852213.000,35133,2,AX,1,100,1.052
1852253.000,35150,3,AX,1,100,1.029
1852293.000,35150,3,AX,1,100,1.033
1852333.000,35150,3,AX,1,100,1.028
1852373.000,35166,2,AX,1,100,1.038
1852413.000,35166,2,AX,1,100,1.008
1852453.000,35183,3,AX,1,100,1.000
1852493.000,35183,3,AX,1,100,0.989
1852533.000,35183,3,AX,1,100,1.038
1852573.000,35200,2,AX,1,100,0.896
1852613.000,35200,2,AX,1,100,0.940
1852653.000,35215,3,AX,1,100,0.948
1852693.000,35215,3,AX,1,100,0.871
1852733.000,35215,3,AX,1,100,0.970
1852773.000,35231,2,AX,1,100,1.002
1852813.000,35231,2,AX,1,100,0.786
1852853.000,35248,3,AX,1,100,0.826
1852893.000,35248,3,AX,1,100,0.776
1852933.000,35248,3,AX,1,100,0.801
1852973.000,35265,2,AX,1,100,0.789
1853013.000,35265,2,AX,1,100,0.704
1853053.000,35280,3,AX,1,100,0.755
1853093.000,35280,3,AX,1,100,0.770
1853133.000,35280,3,AX,1,100,0.755
1853173.000,35296,3,AX,1,100,0.481
1853213.000,35296,3,AX,1,100,0.455
1853253.000,35296,3,AX,1,100,0.083
1853293.000,35314,2,AX,1,100,0.208
1853333.000,35314,2,AX,1,100,-0.387
1853373.000,35330,3,AX,1,100,-0.448
1853413.000,35330,3,AX,1,100,-0.202
1853453.000,35330,3,AX,1,100,0.174
1853493.000,35345,2,AX,1,100,-0.073
1853533.000,35345,2,AX,1,100,-0.211
1853573.000,35362,3,AX,1,100,-0.217
1853613.000,35362,3,AX,1,100,-0.043
1853653.000,35362,3,AX,1,100,0.021
1853693.000,35379,2,AX,1,100,-0.061
1853733.000,35379,2,AX,1,100,-0.198
1853773.000,35395,3,AX,1,100,-0.050
1853813.000,35395,3,AX,1,100,-0.044
1853853.000,35395,3,AX,1,100,-0.042
1853893.000,35410,2,AX,1,100,-0.056
1853933.000,35410,2,AX,1,100,-0.201
1853973.000,35427,3,AX,1,100,-0.052
1854013.000,35427,3,AX,1,100,-0.054
1854053.000,35427,3,AX,1,100,-0.062
1854093.000,35444,2,AX,1,100,-0.176
1854133.000,35444,2,AX,1,100,-0.064
1854173.000,35460,3,AX,1,100,-0.190
1854213.000,35460,3,AX,1,100,-0.068
1854253.000,35460,3,AX,1,100,-0.070
1854293.000,35477,2,AX,1,100,-0.117
1854333.000,35477,2,AX,1,100,-0.119
1854373.000,35492,3,AX,1,100,-0.104
1854413.000,35492,3,AX,1,100,-0.322
1854453.000,35492,3,AX,1,100,0.064
1854493.000,35509,2,AX,1,100,0.111
1854533.000,35509,2,AX,1,100,-0.258
1854573.000,35526,3,AX,1,100,-0.264
1854613.000,35526,3,AX,1,100,-0.524
1854653.000,35526,3,AX,1,100,-0.657
1854693.000,35543,3,AX,1,100,-0.748
1854733.000,35543,3,AX,1,100,-0.558
1854773.000,35543,3,AX,1,100,-0.788
1854813.000,35557,2,AX,1,100,-0.967
1854853.000,35557,2,AX,1,100,-0.833
1854893.000,35575,3,AX,1,100,-0.836
1854933.000,35575,3,AX,1,100,-0.777
1854973.000,35575,3,AX,1,100,-0.982
1855013.000,35591,2,AX,1,100,-0.883
1855053.000,35591,2,AX,1,100,-0.858
1855093.000,35608,3,AX,1,100,-0.847
1855133.000,35608,3,AX,1,100,-0.962
1855173.000,35608,3,AX,1,100,-0.898
1855213.000,35622,2,AX,1,100,-0.846
1855253.000,35622,2,AX,1,100,-0.853
1855293.000,35640,3,AX,1,100,-0.891
1855333.000,35640,3,AX,1,100,-0.893
1855373.000,35640,3,AX,1,100,-0.895
1855413.000,35656,2,AX,1,100,-0.893
1855453.000,35656,2,AX,1,100,-0.893
1855493.000,35673,3,AX,1,100,-0.893
1855533.000,35673,3,AX,1,100,-0.894
1855573.000,35673,3,AX,1,100,-0.894
1855613.000,35688,2,AX,1,100,-0.895
1855653.000,35688,2,AX,1,100,-0.893
1855693.000,35705,3,AX,1,100,-0.893
1855733.000,35705,3,AX,1,100,-0.895
1855773.000,35705,3,AX,1,100,-0.896
1855813.000,35721,2,AX,1,100,-0.892
1855853.000,35721,2,AX,1,100,-0.896
