EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1859692.000,36335,3,AY,1,100,-0.008
1859732.000,36350,2,AY,1,100,-0.008
1859772.000,36350,2,AY,1,100,-0.008
1859812.000,36367,3,AY,1,100,-0.007
1859852.000,36367,3,AY,1,100,-0.006
1859892.000,36367,3,AY,1,100,-0.011
1859932.000,36384,2,AY,1,100,-0.007
1859972.000,36384,2,AY,1,100,-0.008
1860012.000,36401,3,AY,1,100,-0.009
1860052.000,36401,3,AY,1,100,-0.006
1860092.000,36401,3,AY,1,100,-0.010
1860132.000,36415,2,AY,1,100,-0.009
1860172.000,36415,2,AY,1,100,-0.003
1860212.000,36433,3,AY,1,100,-0.009
1860252.000,36433,3,AY,1,100,-0.010
1860292.000,36433,3,AY,1,100,-0.007
1860332.000,36449,3,AY,1,100,-0.007
1860372.000,36449,3,AY,1,100,-0.008
1860412.000,36449,3,AY,1,100,-0.010
1860452.000,36466,2,AY,1,100,-0.009
1860492.000,36466,2,AY,1,100,-0.006
1860532.000,36480,3,AY,1,100,-0.006
1860572.000,36480,3,AY,1,100,-0.011
1860612.000,36480,3,AY,1,100,-0.006
1860652.000,36498,2,AY,1,100,-0.008
1860692.000,36498,2,AY,1,100,-0.009
1860732.000,36514,3,AY,1,100,-0.007
1860772.000,36514,3,AY,1,100,-0.009
1860812.000,36514,3,AY,1,100,-0.008
1860852.000,36531,2,AY,1,100,-0.007
1860892.000,36531,2,AY,1,100,-0.010
1860932.000,36546,3,AY,1,100,-0.008
1860972.000,36546,3,AY,1,100,-0.007
1861012.000,36546,3,AY,1,100,-0.008
1861052.000,36563,2,AY,1,100,-0.007
1861092.000,36563,2,AY,1,100,-0.010
1861132.000,36579,3,AY,1,100,-0.007
1861172.000,36579,3,AY,1,100,-0.007
1861212.000,36579,3,AY,1,100,-0.009
1861252.000,36597,2,AY,1,100,-0.009
1861292.000,36597,2,AY,1,100,-0.008
1861332.000,36613,3,AY,1,100,-0.008
1861372.000,36613,3,AY,1,100,-0.009
1861412.000,36613,3,AY,1,100,-0.008
1861452.000,36630,2,AY,1,100,-0.007
1861492.000,36630,2,AY,1,100,-0.006
1861532.000,36646,3,AY,1,100,-0.009
1861572.000,36646,3,AY,1,100,-0.007
1861612.000,36646,3,AY,1,100,-0.009
1861652.000,36664,3,AY,1,100,-0.005
1861692.000,36664,3,AY,1,100,-0.006
