EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1861932.000,36702,3,MZ,1,100,-25
1861972.000,36719,2,MZ,1,100,-25
1862012.000,36719,2,MZ,1,100,-26
1862052.000,36739,4,MZ,1,100,-27
1862092.000,36739,4,MZ,1,100,-26
1862132.000,36739,4,MZ,1,100,-26
1862172.000,36739,4,MZ,1,100,-27
1862212.000,36755,2,MZ,1,100,-25
1862252.000,36755,2,MZ,1,100,-27
1862292.000,36773,3,MZ,1,100,-26
1862332.000,36773,3,MZ,1,100,-26
1862372.000,36773,3,MZ,1,100,-26
1862412.000,36787,2,MZ,1,100,-26
1862452.000,36787,2,MZ,1,100,-26
1862492.000,36804,3,MZ,1,100,-27
1862532.000,36804,3,MZ,1,100,-27
1862572.000,36804,3,MZ,1,100,-27
1862612.000,36821,2,MZ,1,100,-27
1862652.000,36821,2,MZ,1,100,-25
1862692.000,36838,3,MZ,1,100,-25
1862732.000,36838,3,MZ,1,100,-25
1862772.000,36838,3,MZ,1,100,-27
1862812.000,36852,2,MZ,1,100,-26
1862852.000,36852,2,MZ,1,100,-25
1862892.000,36870,3,MZ,1,100,-26
1862932.000,36870,3,MZ,1,100,-25
1862972.000,36870,3,MZ,1,100,-26
1863012.000,36886,3,MZ,1,100,-27
1863052.000,36886,3,MZ,1,100,-27
1863092.000,36886,3,MZ,1,100,-26
1863132.000,36903,2,MZ,1,100,-26
1863172.000,36903,2,MZ,1,100,-25
1863212.000,36917,3,MZ,1,100,-26
1863252.000,36917,3,MZ,1,100,-26
1863292.000,36917,3,MZ,1,100,-26
1863332.000,36935,2,MZ,1,100,-27
1863372.000,36935,2,MZ,1,100,-27
1863412.000,36951,3,MZ,1,100,-26
1863452.000,36951,3,MZ,1,100,-26
1863492.000,36951,3,MZ,1,100,-28
1863532.000,36968,2,MZ,1,100,-26
1863572.000,36968,2,MZ,1,100,-25
1863612.000,36984,3,MZ,1,100,-27
1863652.000,36984,3,MZ,1,100,-25
1863692.000,36984,3,MZ,1,100,-27
1863732.000,37000,2,MZ,1,100,-26
1863772.000,37000,2,MZ,1,100,-26
1863812.000,37016,3,MZ,1,100,-25
1863852.000,37016,3,MZ,1,100,-26
1863892.000,37016,3,MZ,1,100,-26
1863932.000,37034,2,MZ,1,100,-26
1863972.000,37034,2,MZ,1,100,-25
1864012.000,37050,3,MZ,1,100,-27
1864052.000,37050,3,MZ,1,100,-27
1864092.000,37050,3,MZ,1,100,-25
1864132.000,37065,2,MZ,1,100,-26
1864172.000,37065,2,MZ,1,100,-26
1864212.000,37082,3,MZ,1,100,-27
1864252.000,37082,3,MZ,1,100,-25
1864292.000,37082,3,MZ,1,100,-25
1864332.000,37099,3,MZ,1,100,-26
1864372.000,37099,3,MZ,1,100,-27
1864412.000,37099,3,MZ,1,100,-26
1864452.000,37115,2,MZ,1,100,-27
1864492.000,37115,2,MZ,1,100,-27
1864532.000,37130,3,MZ,1,100,-26
1864572.000,37130,3,MZ,1,100,-26
