EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1858411.750,36131,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1858462.000,36131,4,EM,1,100,PS
1858512.250,36162,4,EM,1,100,RS
1858562.500,36162,4,EM,1,100,RB
1858612.750,36162,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1858663.000,36162,4,EM,1,100,PS
1858714.000,36196,4,EM,1,100,RS
1858765.000,36196,4,EM,1,100,RB
1858816.000,36196,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1858867.000,36196,4,EM,1,100,PS
1858917.250,36228,4,EM,1,100,RS
1858967.500,36228,4,EM,1,100,RB
1859017.750,36228,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1859068.000,36228,4,EM,1,100,PS
1859118.250,36261,4,EM,1,100,RS
1859168.500,36261,4,EM,1,100,RB
1859218.750,36261,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1859269.000,36261,4,EM,1,100,PS
1859319.250,36293,4,EM,1,100,RS
1859369.500,36293,4,EM,1,100,RB
1859419.750,36293,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1859470.000,36293,4,EM,1,100,PS
1859520.250,36326,4,EM,1,100,RS
1859570.500,36326,4,EM,1,100,RB
1859620.750,36326,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1859671.000,36326,4,EM,1,100,PS
1859721.250,36358,4,EM,1,100,RS
1859771.500,36358,4,EM,1,100,RB
1859821.750,36358,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1859872.000,36358,4,EM,1,100,PS
1859922.250,36392,4,EM,1,100,RS
1859972.500,36392,4,EM,1,100,RB
1860022.750,36392,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1860073.000,36392,4,EM,1,100,PS
1860123.250,36423,4,EM,1,100,RS
1860173.500,36423,4,EM,1,100,RB
1860223.750,36423,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1860274.000,36423,4,EM,1,100,PS
1860324.250,36457,4,EM,1,100,RS
1860374.500,36457,4,EM,1,100,RB
1860424.750,36457,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1860475.000,36457,4,EM,1,100,PS
1860525.250,36488,4,EM,1,100,RS
1860575.500,36488,4,EM,1,100,RB
1860625.750,36488,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1860676.000,36488,4,EM,1,100,PS
1860726.250,36522,4,EM,1,100,RS
1860776.500,36522,4,EM,1,100,RB
1860826.750,36522,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1860877.000,36522,4,EM,1,100,PS
1860927.750,36554,4,EM,1,100,RS
1860978.500,36554,4,EM,1,100,RB
1861029.250,36554,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1861080.000,36554,4,EM,1,100,PS
1861130.250,36587,4,EM,1,100,RS
1861180.500,36587,4,EM,1,100,RB
1861230.750,36587,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1861281.000,36587,4,EM,1,100,PS
1861331.250,36621,4,EM,1,100,RS
1861381.500,36621,4,EM,1,100,RB
1861431.750,36621,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1861482.000,36621,4,EM,1,100,PS
1861532.250,36654,4,EM,1,100,RS
1861582.500,36654,4,EM,1,100,RB
1861632.750,36654,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1861683.000,36654,4,EM,1,100,PS
1861733.500,36687,4,EM,1,100,RS
1861784.000,36687,4,EM,1,100,RB
1861834.500,36687,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1861885.000,36687,4,EM,1,100,PS
1861957.500,36723,4,EM,1,100,RS
1862030.000,36723,4,EM,1,100,RB
1862102.500,36723,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1862175.000,36723,4,EM,1,100,PS
1862225.250,36756,4,EM,1,100,RS
1862275.500,36756,4,EM,1,100,RB
1862325.750,36756,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1862376.000,36756,4,EM,1,100,PS
1862426.250,36788,4,EM,1,100,RS
1862476.500,36788,4,EM,1,100,RB
1862526.750,36788,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1862577.000,36788,4,EM,1,100,PS
1862628.250,36822,4,EM,1,100,RS
1862679.500,36822,4,EM,1,100,RB
1862730.750,36822,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1862782.000,36822,4,EM,1,100,PS
1862832.000,36853,4,EM,1,100,RS
1862882.000,36853,4,EM,1,100,RB
1862932.000,36853,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1862982.000,36853,4,EM,1,100,PS
1863032.250,36887,4,EM,1,100,RS
1863082.500,36887,4,EM,1,100,RB
1863132.750,36887,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1863183.000,36887,4,EM,1,100,PS
1863233.750,36918,4,EM,1,100,RS
1863284.500,36918,4,EM,1,100,RB
1863335.250,36918,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1863386.000,36918,4,EM,1,100,PS
1863436.250,36952,4,EM,1,100,RS
1863486.500,36952,4,EM,1,100,RB
1863536.750,36952,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1863587.000,36952,4,EM,1,100,PS
1863637.250,36985,4,EM,1,100,RS
1863687.500,36985,4,EM,1,100,RB
1863737.750,36985,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1863788.000,36985,4,EM,1,100,PS
1863838.250,37017,4,EM,1,100,RS
1863888.500,37017,4,EM,1,100,RB
1863938.750,37017,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1863989.000,37017,4,EM,1,100,PS
1864039.250,37051,4,EM,1,100,RS
1864089.500,37051,4,EM,1,100,RB
1864139.750,37051,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1864190.000,37051,4,EM,1,100,PS
1864240.250,37083,4,EM,1,100,RS
1864290.500,37083,4,EM,1,100,RB
1864340.750,37083,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1864391.000,37083,4,EM,1,100,PS
1864441.250,37116,4,EM,1,100,RS
1864491.500,37116,4,EM,1,100,RB
1864541.750,37116,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1864592.000,37116,4,EM,1,100,PS
1864642.250,37148,4,EM,1,100,RS
1864692.500,37148,4,EM,1,100,RB
1864742.750,37148,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1864793.000,37148,4,EM,1,100,PS
1864843.250,37181,4,EM,1,100,RS
1864893.500,37181,4,EM,1,100,RB
1864943.750,37181,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1864994.000,37181,4,EM,1,100,PS
1865044.250,37213,4,EM,1,100,RS
1865094.500,37213,4,EM,1,100,RB
1865144.750,37213,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1865195.000,37213,4,EM,1,100,PS
1865245.250,37247,4,EM,1,100,RS
1865295.500,37247,4,EM,1,100,RB
1865345.750,37247,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1865396.000,37247,4,EM,1,100,PS
1865447.000,37278,4,EM,1,100,RS
1865498.000,37278,4,EM,1,100,RB
1865549.000,37278,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1865600.000,37278,4,EM,1,100,PS
1865650.250,37312,4,EM,1,100,RS
1865700.500,37312,4,EM,1,100,RB
1865750.750,37312,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1865801.000,37312,4,EM,1,100,PS
1865851.250,37343,4,EM,1,100,RS
1865901.500,37343,4,EM,1,100,RB
1865951.750,37343,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1866002.000,37343,4,EM,1,100,PS
1866080.500,37377,4,EM,1,100,RS
1866159.000,37377,4,EM,1,100,RB
1866237.500,37377,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1866316.000,37377,4,EM,1,100,PS
1866367.000,37413,4,EM,1,100,RS
1866418.000,37413,4,EM,1,100,RB
1866469.000,37413,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1866520.000,37413,4,EM,1,100,PS
1866570.250,37444,4,EM,1,100,RS
1866620.500,37444,4,EM,1,100,RB
1866670.750,37444,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1866721.000,37444,4,EM,1,100,PS
1866771.250,37478,4,EM,1,100,RS
1866821.500,37478,4,EM,1,100,RB
1866871.750,37478,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1866922.000,37478,4,EM,1,100,PS
1866972.250,37511,4,EM,1,100,RS
1867022.500,37511,4,EM,1,100,RB
1867072.750,37511,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1867123.000,37511,4,EM,1,100,PS
1867177.500,37550,4,EM,1,100,RS
1867232.000,37550,4,EM,1,100,RB
1867286.500,37550,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1867341.000,37550,4,EM,1,100,PS
1867391.000,37584,4,EM,1,100,RS
1867441.000,37584,4,EM,1,100,RB
1867491.000,37584,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1867541.000,37584,4,EM,1,100,PS
1867591.250,37617,4,EM,1,100,RS
1867641.500,37617,4,EM,1,100,RB
