EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1858880.000,36197,3,PI,1,100,1866
1858920.000,36212,2,PI,1,100,1873
1858960.000,36212,2,PI,1,100,1868
1859000.000,36229,3,PI,1,100,1877
1859040.000,36229,3,PI,1,100,1871
1859080.000,36229,3,PI,1,100,1875
1859120.000,36245,2,PI,1,100,1876
1859160.000,36245,2,PI,1,100,1872
1859200.000,36262,3,PI,1,100,1886
1859240.000,36262,3,PI,1,100,1880
1859280.000,36262,3,PI,1,100,1871
1859320.000,36277,2,PI,1,100,1883
1859360.000,36277,2,PI,1,100,1880
1859400.000,36294,3,PI,1,100,1865
1859440.000,36294,3,PI,1,100,1880
1859480.000,36294,3,PI,1,100,1879
1859520.000,36310,2,PI,1,100,1880
1859560.000,36310,2,PI,1,100,1879
1859600.000,36328,3,PI,1,100,1879
1859640.000,36328,3,PI,1,100,1880
1859680.000,36328,3,PI,1,100,1871
1859720.000,36343,3,PI,1,100,1875
1859760.000,36343,3,PI,1,100,1878
1859800.000,36343,3,PI,1,100,1875
1859840.000,36359,2,PI,1,100,1877
1859880.000,36359,2,PI,1,100,1877
1859920.000,36376,3,PI,1,100,1866
1859960.000,36376,3,PI,1,100,1871
1860000.000,36376,3,PI,1,100,1878
1860040.000,36393,2,PI,1,100,1862
1860080.000,36393,2,PI,1,100,1875
1860120.000,36409,3,PI,1,100,1867
1860160.000,36409,3,PI,1,100,1873
1860200.000,36409,3,PI,1,100,1866
1860240.000,36425,2,PI,1,100,1871
1860280.000,36425,2,PI,1,100,1874
1860319.667,36441,3,PI,1,100,1871
1860359.333,36441,3,PI,1,100,1860
1860399.000,36441,3,PI,1,100,1878
1860439.500,36458,2,PI,1,100,1862
1860480.000,36458,2,PI,1,100,1864
1860520.000,36474,3,PI,1,100,1861
1860560.000,36474,3,PI,1,100,1856
1860600.000,36474,3,PI,1,100,1871
1860640.000,36490,3,PI,1,100,1863
1860680.000,36490,3,PI,1,100,1858
1860720.000,36490,3,PI,1,100,1863
1860759.500,36506,2,PI,1,100,1862
1860799.000,36506,2,PI,1,100,1863
1860839.000,36523,3,PI,1,100,1862
1860879.000,36523,3,PI,1,100,1869
1860919.000,36523,3,PI,1,100,1859
1860959.000,36540,2,PI,1,100,1855
1860999.000,36540,2,PI,1,100,1868
1861039.333,36555,3,PI,1,100,1874
1861079.667,36555,3,PI,1,100,1862
1861120.000,36555,3,PI,1,100,1860
1861159.500,36571,2,PI,1,100,1863
1861199.000,36571,2,PI,1,100,1863
1861239.333,36589,3,PI,1,100,1872
1861279.667,36589,3,PI,1,100,1873
1861320.000,36589,3,PI,1,100,1865
1861359.500,36607,2,PI,1,100,1874
1861399.000,36607,2,PI,1,100,1876
1861439.000,36622,3,PI,1,100,1871
1861479.000,36622,3,PI,1,100,1875
1861519.000,36622,3,PI,1,100,1861
1861559.000,36638,2,PI,1,100,1874
1861599.000,36638,2,PI,1,100,1876
1861639.000,36656,3,PI,1,100,1875
1861679.000,36656,3,PI,1,100,1879
1861719.000,36656,3,PI,1,100,1871
1861759.000,36672,2,PI,1,100,1873
1861799.000,36672,2,PI,1,100,1876
1861839.333,36688,3,PI,1,100,1877
1861879.667,36688,3,PI,1,100,1874
1861920.000,36688,3,PI,1,100,1875
1861959.500,36704,2,PI,1,100,1879
1861999.000,36704,2,PI,1,100,1874
1862039.000,36724,4,PI,1,100,1869
1862079.000,36724,4,PI,1,100,1876
1862119.000,36724,4,PI,1,100,1874
1862159.000,36724,4,PI,1,100,1865
1862199.000,36740,3,PI,1,100,1860
1862239.000,36740,3,PI,1,100,1880
1862279.000,36740,3,PI,1,100,1877
1862319.000,36758,2,PI,1,100,1881
1862359.000,36758,2,PI,1,100,1875
1862399.000,36774,3,PI,1,100,1863
1862439.000,36774,3,PI,1,100,1873
1862479.000,36774,3,PI,1,100,1875
1862519.000,36789,2,PI,1,100,1867
1862559.000,36789,2,PI,1,100,1880
1862599.000,36806,3,PI,1,100,1859
1862639.000,36806,3,PI,1,100,1863
1862679.000,36806,3,PI,1,100,1869
1862719.000,36823,2,PI,1,100,1869
1862759.000,36823,2,PI,1,100,1877
1862799.000,36839,3,PI,1,100,1865
1862839.000,36839,3,PI,1,100,1867
1862879.000,36839,3,PI,1,100,1872
1862919.000,36855,2,PI,1,100,1867
1862959.000,36855,2,PI,1,100,1871
1862999.000,36871,3,PI,1,100,1862
1863039.000,36871,3,PI,1,100,1866
1863079.000,36871,3,PI,1,100,1858
1863119.000,36888,2,PI,1,100,1873
1863159.000,36888,2,PI,1,100,1863
1863199.000,36904,3,PI,1,100,1871
1863239.000,36904,3,PI,1,100,1882
1863279.000,36904,3,PI,1,100,1868
1863319.000,36920,3,PI,1,100,1874
1863359.000,36920,3,PI,1,100,1883
1863399.000,36920,3,PI,1,100,1879
1863439.000,36936,2,PI,1,100,1881
1863479.000,36936,2,PI,1,100,1889
1863519.000,36953,3,PI,1,100,1881
1863559.000,36953,3,PI,1,100,1863
1863599.000,36953,3,PI,1,100,1871
1863639.000,36970,2,PI,1,100,1875
1863679.000,36970,2,PI,1,100,1878
1863719.000,36986,3,PI,1,100,1870
1863759.000,36986,3,PI,1,100,1870
1863799.000,36986,3,PI,1,100,1864
1863839.000,37001,2,PI,1,100,1867
1863879.000,37001,2,PI,1,100,1861
1863919.000,37019,3,PI,1,100,1871
1863959.000,37019,3,PI,1,100,1864
1863999.000,37019,3,PI,1,100,1871
1864039.000,37035,2,PI,1,100,1864
1864079.000,37035,2,PI,1,100,1863
1864119.000,37052,3,PI,1,100,1867
1864159.000,37052,3,PI,1,100,1870
1864199.000,37052,3,PI,1,100,1870
1864239.000,37067,2,PI,1,100,1873
1864279.000,37067,2,PI,1,100,1872
1864319.000,37084,3,PI,1,100,1864
1864359.000,37084,3,PI,1,100,1871
1864399.000,37084,3,PI,1,100,1879
1864439.000,37100,2,PI,1,100,1875
1864479.000,37100,2,PI,1,100,1880
1864519.000,37117,3,PI,1,100,1880
1864559.000,37117,3,PI,1,100,1884
1864599.000,37117,3,PI,1,100,1878
1864639.000,37132,3,PI,1,100,1870
1864679.000,37132,3,PI,1,100,1880
1864719.000,37132,3,PI,1,100,1876
1864759.000,37149,2,PI,1,100,1867
1864799.000,37149,2,PI,1,100,1863
1864839.000,37165,3,PI,1,100,1861
1864879.000,37165,3,PI,1,100,1874
1864919.000,37165,3,PI,1,100,1866
1864959.000,37183,2,PI,1,100,1866
1864999.000,37183,2,PI,1,100,1871
1865039.000,37197,3,PI,1,100,1864
1865079.000,37197,3,PI,1,100,1866
1865119.000,37197,3,PI,1,100,1877
1865159.000,37214,2,PI,1,100,1880
1865199.000,37214,2,PI,1,100,1880
1865239.000,37231,3,PI,1,100,1864
1865279.000,37231,3,PI,1,100,1879
1865319.000,37231,3,PI,1,100,1866
1865359.000,37248,2,PI,1,100,1874
1865399.000,37248,2,PI,1,100,1879
1865439.000,37262,3,PI,1,100,1875
1865479.000,37262,3,PI,1,100,1872
1865519.000,37262,3,PI,1,100,1878
1865559.000,37279,2,PI,1,100,1869
1865599.000,37279,2,PI,1,100,1864
1865639.000,37296,3,PI,1,100,1877
1865679.000,37296,3,PI,1,100,1872
1865719.000,37296,3,PI,1,100,1876
1865759.000,37313,2,PI,1,100,1874
