EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1863979.000,37025,1,TH,1,100,23.254
1864113.000,37041,1,TH,1,100,23.270
1864246.000,37073,1,TH,1,100,23.270
1864379.000,37090,1,TH,1,100,23.160
1864513.000,37106,1,TH,1,100,23.160
1864646.000,37138,1,TH,1,100,23.257
1864779.000,37155,1,TH,1,100,23.257
1864912.000,37171,1,TH,1,100,23.257
1865046.000,37203,1,TH,1,100,23.250
1865179.000,37220,1,TH,1,100,23.195
1865313.000,37237,1,TH,1,100,23.195
1865446.000,37268,1,TH,1,100,23.226
1865579.000,37285,1,TH,1,100,23.226
1865712.000,37302,1,TH,1,100,23.160
1865846.000,37333,1,TH,1,100,23.160
1865979.000,37351,1,TH,1,100,23.236
1866112.000,37367,1,TH,1,100,23.237
1866246.000,37385,1,TH,1,100,23.098
1866379.000,37403,1,TH,1,100,23.097
1866512.000,37420,1,TH,1,100,23.134
1866646.000,37452,1,TH,1,100,23.134
1866779.000,37468,1,TH,1,100,23.218
1866912.000,37485,1,TH,1,100,23.218
1867046.000,37517,1,TH,1,100,23.147
1867179.000,37540,1,TH,1,100,23.147
1867312.000,37558,1,TH,1,100,23.139
1867446.000,37574,1,TH,1,100,23.139
1867579.000,37591,1,TH,1,100,23.121
1867712.000,37623,1,TH,1,100,23.121
1867846.000,37639,1,TH,1,100,23.087
1867979.000,37657,1,TH,1,100,23.087
1868112.000,37688,1,TH,1,100,23.056
