LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
0.000000,0.000000,1726701775.749721,428527.000,2094,2,EL,1,100,-18305.599609
0.000000,0.000000,1726701775.816722,428594.000,2111,1,EL,1,100,-18306.000000
0.000000,0.000000,1726701775.883223,428660.500,2127,2,EL,1,100,-18305.800781
0.000000,0.000000,1726701775.949724,428727.000,2127,2,EL,1,100,-18305.400391
0.000000,0.000000,1726701776.016725,428794.000,2145,1,EL,1,100,-18306.199219
0.000000,0.000000,1726701776.083226,428860.500,2159,2,EL,1,100,-18305.800781
0.000000,0.000000,1726701776.149727,428927.000,2159,2,EL,1,100,-18305.800781
0.000000,0.000000,1726701776.216728,428994.000,2176,1,EL,1,100,-18306.199219
0.000000,0.000000,1726701776.283229,429060.500,2193,2,EL,1,100,-18306.000000
0.000000,0.000000,1726701776.349730,429127.000,2193,2,EL,1,100,-18306.199219
0.000000,0.000000,1726701776.416731,429194.000,2212,1,EL,1,100,-18306.000000
