LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
0.000000,0.000000,1726702060.211733,712985.000,48364,1,EA,1,100,1.505491
0.000000,0.000000,1726702060.278734,713052.000,48381,2,EA,1,100,1.505161
0.000000,0.000000,1726702060.345735,713119.000,48381,2,EA,1,100,1.504835
0.000000,0.000000,1726702060.411736,713185.000,48398,1,EA,1,100,1.504835
0.000000,0.000000,1726702060.478737,713252.000,48412,2,EA,1,100,1.505491
0.000000,0.000000,1726702060.545738,713319.000,48412,2,EA,1,100,1.505491
0.000000,0.000000,1726702060.611739,713385.000,48429,1,EA,1,100,1.506147
0.000000,0.000000,1726702060.678740,713452.000,48446,2,EA,1,100,1.507131
0.000000,0.000000,1726702060.745741,713519.000,48446,2,EA,1,100,1.506801
0.000000,0.000000,1726702060.811742,713585.000,48463,1,EA,1,100,1.509763
0.000000,0.000000,1726702060.878743,713652.000,48478,2,EA,1,100,1.511413
0.000000,0.000000,1726702060.945744,713719.000,48478,2,EA,1,100,1.511742
