LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
0.000000,0.000000,1726702089.771150,742544.000,53134,2,PG,1,100,621
0.000000,0.000000,1726702089.811151,742584.000,53134,2,PG,1,100,628
0.000000,0.000000,1726702089.851151,742624.000,53151,3,PG,1,100,628
0.000000,0.000000,1726702089.891152,742664.000,53151,3,PG,1,100,627
0.000000,0.000000,1726702089.931152,742704.000,53151,3,PG,1,100,630
0.000000,0.000000,1726702089.971153,742744.000,53168,2,PG,1,100,620
0.000000,0.000000,1726702090.011154,742784.000,53168,2,PG,1,100,611
0.000000,0.000000,1726702090.051154,742824.000,53183,3,PG,1,100,616
0.000000,0.000000,1726702090.091155,742864.000,53183,3,PG,1,100,610
0.000000,0.000000,1726702090.131155,742904.000,53183,3,PG,1,100,610
0.000000,0.000000,1726702090.171156,742944.000,53199,2,PG,1,100,615
0.000000,0.000000,1726702090.211156,742984.000,53199,2,PG,1,100,611
0.000000,0.000000,1726702090.251157,743024.000,53217,3,PG,1,100,616
0.000000,0.000000,1726702090.291158,743064.000,53217,3,PG,1,100,624
0.000000,0.000000,1726702090.331158,743104.000,53217,3,PG,1,100,617
0.000000,0.000000,1726702090.371159,743144.000,53233,2,PG,1,100,625
0.000000,0.000000,1726702090.411159,743184.000,53233,2,PG,1,100,634
0.000000,0.000000,1726702090.451160,743224.000,53248,3,PG,1,100,618
0.000000,0.000000,1726702090.491160,743264.000,53248,3,PG,1,100,621
0.000000,0.000000,1726702090.531161,743304.000,53248,3,PG,1,100,623
0.000000,0.000000,1726702090.571162,743344.000,53264,3,PG,1,100,614
0.000000,0.000000,1726702090.611162,743384.000,53264,3,PG,1,100,611
0.000000,0.000000,1726702090.651163,743424.000,53264,3,PG,1,100,629
0.000000,0.000000,1726702090.691163,743464.000,53282,2,PG,1,100,613
0.000000,0.000000,1726702090.731164,743504.000,53282,2,PG,1,100,608
0.000000,0.000000,1726702090.771164,743544.000,53298,3,PG,1,100,615
0.000000,0.000000,1726702090.811165,743584.000,53298,3,PG,1,100,599
0.000000,0.000000,1726702090.851165,743624.000,53298,3,PG,1,100,613
0.000000,0.000000,1726702090.891166,743664.000,53313,2,PG,1,100,614
0.000000,0.000000,1726702090.931167,743704.000,53313,2,PG,1,100,612
0.000000,0.000000,1726702090.971167,743744.000,53330,3,PG,1,100,629
0.000000,0.000000,1726702091.011168,743784.000,53330,3,PG,1,100,635
0.000000,0.000000,1726702091.051168,743824.000,53330,3,PG,1,100,602
0.000000,0.000000,1726702091.091169,743864.000,53347,2,PG,1,100,628
0.000000,0.000000,1726702091.131169,743904.000,53347,2,PG,1,100,634
0.000000,0.000000,1726702091.171170,743944.000,53363,3,PG,1,100,606
0.000000,0.000000,1726702091.211171,743984.000,53363,3,PG,1,100,624
0.000000,0.000000,1726702091.251171,744024.000,53363,3,PG,1,100,614
0.000000,0.000000,1726702091.291172,744064.000,53379,2,PG,1,100,623
0.000000,0.000000,1726702091.331172,744104.000,53379,2,PG,1,100,623
0.000000,0.000000,1726702091.371173,744144.000,53395,3,PG,1,100,626
0.000000,0.000000,1726702091.411173,744184.000,53395,3,PG,1,100,620
0.000000,0.000000,1726702091.451174,744224.000,53395,3,PG,1,100,624
0.000000,0.000000,1726702091.491174,744264.000,53412,3,PG,1,100,637
0.000000,0.000000,1726702091.531175,744304.000,53412,3,PG,1,100,628
0.000000,0.000000,1726702091.571176,744344.000,53412,3,PG,1,100,642
0.000000,0.000000,1726702091.611176,744384.000,53428,2,PG,1,100,633
0.000000,0.000000,1726702091.651177,744424.000,53428,2,PG,1,100,625
0.000000,0.000000,1726702091.691177,744464.000,53445,3,PG,1,100,615
0.000000,0.000000,1726702091.731178,744504.000,53445,3,PG,1,100,625
0.000000,0.000000,1726702091.771178,744544.000,53445,3,PG,1,100,621
0.000000,0.000000,1726702091.811179,744584.000,53460,2,PG,1,100,611
0.000000,0.000000,1726702091.851180,744624.000,53460,2,PG,1,100,620
0.000000,0.000000,1726702091.891180,744664.000,53477,3,PG,1,100,611
0.000000,0.000000,1726702091.931181,744704.000,53477,3,PG,1,100,617
0.000000,0.000000,1726702091.971181,744744.000,53477,3,PG,1,100,622
0.000000,0.000000,1726702092.011182,744784.000,53494,2,PG,1,100,626
0.000000,0.000000,1726702092.051182,744824.000,53494,2,PG,1,100,615
0.000000,0.000000,1726702092.091183,744864.000,53511,3,PG,1,100,628
0.000000,0.000000,1726702092.131184,744904.000,53511,3,PG,1,100,632
0.000000,0.000000,1726702092.171184,744944.000,53511,3,PG,1,100,623
0.000000,0.000000,1726702092.210685,744983.500,53525,2,PG,1,100,623
0.000000,0.000000,1726702092.250185,745023.000,53525,2,PG,1,100,625
0.000000,0.000000,1726702092.290519,745063.333,53543,3,PG,1,100,612
0.000000,0.000000,1726702092.330853,745103.667,53543,3,PG,1,100,617
0.000000,0.000000,1726702092.371187,745144.000,53543,3,PG,1,100,628
0.000000,0.000000,1726702092.410687,745183.500,53559,2,PG,1,100,610
0.000000,0.000000,1726702092.450188,745223.000,53559,2,PG,1,100,613
0.000000,0.000000,1726702092.490189,745263.000,53576,3,PG,1,100,618
0.000000,0.000000,1726702092.530189,745303.000,53576,3,PG,1,100,625
0.000000,0.000000,1726702092.570190,745343.000,53576,3,PG,1,100,624
0.000000,0.000000,1726702092.610690,745383.500,53591,2,PG,1,100,627
0.000000,0.000000,1726702092.651191,745424.000,53591,2,PG,1,100,618
0.000000,0.000000,1726702092.690858,745463.667,53608,3,PG,1,100,629
0.000000,0.000000,1726702092.730525,745503.333,53608,3,PG,1,100,630
